時刻,プレス機A,組立ラインB,検査機C
2026-01-14 10:00:00,85,70,80
2026-01-14 11:00:00,88,72,75
2026-01-14 12:00:00,90,68,70
2026-01-14 13:00:00,87,65,65
2026-01-14 14:00:00,92,60,55
2026-01-14 15:00:00,95,58,50
2026-01-14 16:00:00,93,62,45
2026-01-14 17:00:00,91,65,40
2026-01-14 18:00:00,89,68,38
2026-01-14 19:00:00,88,70,35
2026-01-14 20:00:00,90,72,33
2026-01-14 21:00:00,92,75,30
2026-01-14 22:00:00,94,73,32
2026-01-14 23:00:00,91,70,35
2026-01-15 00:00:00,88,68,38
2026-01-15 01:00:00,85,65,40
2026-01-15 02:00:00,87,62,42
2026-01-15 03:00:00,90,60,40
2026-01-15 04:00:00,93,63,38
2026-01-15 05:00:00,95,65,36
2026-01-15 06:00:00,94,67,35
2026-01-15 07:00:00,92,68,34
2026-01-15 08:00:00,91,66,35
2026-01-15 09:00:00,92,65,35
