時刻,温度,湿度,CO2濃度
2026-01-15 00:00:00,22.5,55.2,580
2026-01-15 00:05:00,22.3,55.8,590
2026-01-15 00:10:00,22.1,56.1,605
2026-01-15 00:15:00,21.9,56.5,620
2026-01-15 00:20:00,21.7,57.0,635
2026-01-15 00:25:00,21.5,57.3,650
2026-01-15 00:30:00,21.4,57.8,665
2026-01-15 00:35:00,21.2,58.2,680
2026-01-15 00:40:00,21.1,58.5,695
2026-01-15 00:45:00,21.0,58.9,710
2026-01-15 00:50:00,20.9,59.2,725
2026-01-15 00:55:00,20.8,59.5,740
2026-01-15 01:00:00,20.7,59.8,755
2026-01-15 01:05:00,20.6,60.0,770
2026-01-15 01:10:00,20.6,60.2,780
2026-01-15 01:15:00,20.5,60.3,790
2026-01-15 01:20:00,20.5,60.4,795
2026-01-15 01:25:00,20.5,60.4,800
2026-01-15 01:30:00,20.5,60.3,795
2026-01-15 01:35:00,20.6,60.2,785
2026-01-15 01:40:00,20.7,60.0,770
2026-01-15 01:45:00,20.8,59.7,750
2026-01-15 01:50:00,20.9,59.4,730
2026-01-15 01:55:00,21.0,59.0,710
2026-01-15 02:00:00,21.2,58.5,690
2026-01-15 02:05:00,21.4,58.0,670
2026-01-15 02:10:00,21.6,57.5,650
2026-01-15 02:15:00,21.8,57.0,630
2026-01-15 02:20:00,22.0,56.5,610
2026-01-15 02:25:00,22.3,56.0,595
2026-01-15 02:30:00,22.5,55.5,580
2026-01-15 02:35:00,22.8,55.0,570
2026-01-15 02:40:00,23.0,54.5,560
2026-01-15 02:45:00,23.3,54.0,555
2026-01-15 02:50:00,23.5,53.6,550
2026-01-15 02:55:00,23.8,53.2,548
2026-01-15 03:00:00,24.0,52.8,545
2026-01-15 03:05:00,24.2,52.5,543
2026-01-15 03:10:00,24.4,52.2,540
2026-01-15 03:15:00,24.6,52.0,538
2026-01-15 03:20:00,24.8,51.8,535
2026-01-15 03:25:00,25.0,51.6,532
2026-01-15 03:30:00,25.1,51.5,530
2026-01-15 03:35:00,25.2,51.4,528
2026-01-15 03:40:00,25.3,51.3,527
2026-01-15 03:45:00,25.4,51.3,526
2026-01-15 03:50:00,25.4,51.3,525
2026-01-15 03:55:00,25.4,51.4,526
2026-01-15 04:00:00,25.3,51.5,528
2026-01-15 04:05:00,25.2,51.6,530
2026-01-15 04:10:00,25.1,51.8,535
2026-01-15 04:15:00,24.9,52.0,540
2026-01-15 04:20:00,24.7,52.3,548
2026-01-15 04:25:00,24.5,52.6,558
2026-01-15 04:30:00,24.2,53.0,570
2026-01-15 04:35:00,24.0,53.4,585
2026-01-15 04:40:00,23.7,53.8,600
2026-01-15 04:45:00,23.4,54.3,618
2026-01-15 04:50:00,23.1,54.8,638
2026-01-15 04:55:00,22.8,55.3,658
2026-01-15 05:00:00,22.5,55.8,680
2026-01-15 05:05:00,22.2,56.3,702
2026-01-15 05:10:00,21.9,56.8,725
2026-01-15 05:15:00,21.6,57.3,748
